carat,cut,color,clarity,depth,table,price,x,y,z,price_per_carat,high_price,price_per_carat_with taxes
0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43,1417.39,0,1842.6070000000002
0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31,1552.38,0,2018.0940000000003
0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31,1421.74,0,1848.2620000000002
0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63,1151.72,0,1497.236
0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75,1080.65,0,1404.8450000000003
0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48,1400.0,0,1820.0
0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,1400.0,0,1820.0
0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53,1296.15,0,1684.9950000000001
0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49,1531.82,0,1991.366
0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39,1469.57,0,1910.441
0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73,1130.0,0,1469.0
0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46,1478.26,0,1921.738
0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33,1554.55,0,2020.915
0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71,1109.68,0,1442.584
0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27,1725.0,0,2242.5
0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68,1078.12,0,1401.5559999999998
0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68,1160.0,0,1508.0
0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7,1170.0,0,1521.0
0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71,1170.0,0,1521.0
0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66,1170.0,0,1521.0
0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71,1170.0,0,1521.0
0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48,1530.43,0,1989.5590000000002
0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41,1534.78,0,1995.214
0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62,1138.71,0,1480.323
0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59,1138.71,0,1480.323
0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41,1539.13,0,2000.8690000000001
0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47,1479.17,0,1922.921
0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67,1190.0,0,1547.0
0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4,1552.17,0,2017.8210000000001
0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42,1552.17,0,2017.8210000000001
0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41,1747.83,0,2272.179
0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42,1747.83,0,2272.179
0.23,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,2.42,1747.83,0,2272.179
0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4,1747.83,0,2272.179
0.23,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,2.44,1747.83,0,2272.179
0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37,1747.83,0,2272.179
0.23,Good,E,VS1,64.1,59.0,402,3.83,3.85,2.46,1747.83,0,2272.179
0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75,1296.77,0,1685.801
0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52,1550.0,0,2015.0
0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78,1221.21,0,1587.573
0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75,1221.21,0,1587.573
0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76,1221.21,0,1587.573
0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61,1550.0,0,2015.0
0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46,1550.0,0,2015.0
0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75,1259.38,0,1637.1940000000002
0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65,1389.66,0,1806.5580000000002
0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71,1259.38,0,1637.1940000000002
0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,1259.38,0,1637.1940000000002
0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54,1616.0,0,2100.8
0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64,1393.1,0,1811.03
0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45,1683.33,0,2188.329
0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44,1756.52,0,2283.476
0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72,1262.5,0,1641.25
0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41,1836.36,0,2387.268
0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31,1836.36,0,2387.268
0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63,1350.0,0,1755.0
0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61,1350.0,0,1755.0
0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67,1350.0,0,1755.0
0.3,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2.71,1350.0,0,1755.0
0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7,1350.0,0,1755.0
0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78,1577.14,0,2050.282
0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66,1840.0,0,2392.0
0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69,1840.0,0,2392.0
0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68,1840.0,0,2392.0
0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96,1314.29,0,1708.577
0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58,1975.0,0,2567.5
